temperature,humidity,exposure_hours,activity_level,hydration_level,age_group,heat_index,risk_score,risk_label
20.0,70.2,10,heavy,moderate,55+,19.9,0.842,high
35.1,84.5,12,light,well,36-45,60.0,0.985,extreme
29.1,53.3,4,heavy,well,55+,30.2,0.538,moderate
33.1,52.7,12,light,moderate,46-55,37.3,0.948,extreme
29.3,65.7,12,heavy,poor,26-35,32.6,0.931,extreme
42.8,46.1,3,light,moderate,36-45,61.0,1.0,extreme
36.9,64.1,6,light,poor,55+,53.8,0.951,extreme
31.0,51.3,12,moderate,well,55+,33.0,0.935,extreme
34.0,52.6,3,extreme,well,18-25,39.3,1.0,extreme
28.4,59.4,8,heavy,poor,26-35,29.9,0.774,high
28.5,77.2,5,moderate,poor,26-35,33.0,0.881,extreme
41.9,49.4,3,heavy,poor,18-25,60.8,0.988,extreme
20.4,81.8,6,light,moderate,18-25,20.7,0.241,low
31.4,47.6,5,heavy,well,55+,32.8,0.89,extreme
31.4,77.3,5,light,moderate,55+,41.2,0.879,extreme
38.9,39.5,10,light,poor,26-35,45.2,0.986,extreme
39.6,69.4,5,heavy,poor,55+,69.4,0.964,extreme
34.1,64.2,6,light,poor,36-45,44.4,1.0,extreme
33.9,49.7,2,light,poor,36-45,38.0,0.555,moderate
24.7,52.1,2,heavy,poor,18-25,24.6,0.541,moderate
35.8,43.2,4,light,moderate,46-55,39.8,1.0,extreme
31.8,65.0,2,extreme,well,18-25,38.3,0.782,high
20.0,94.9,8,heavy,well,46-55,20.5,0.437,moderate
25.1,53.4,11,light,poor,26-35,25.0,0.553,moderate
23.1,49.9,3,light,poor,46-55,22.7,0.393,low
28.5,53.3,4,moderate,poor,55+,29.4,0.675,moderate
40.9,82.6,6,moderate,moderate,46-55,90.9,0.983,extreme
38.0,79.0,3,extreme,well,36-45,70.2,1.0,extreme
36.5,78.6,5,light,moderate,36-45,62.3,0.996,extreme
27.7,93.7,11,heavy,well,36-45,33.3,0.933,extreme
35.4,85.1,8,extreme,poor,26-35,62.1,0.974,extreme
28.6,63.4,7,light,moderate,36-45,30.8,0.474,moderate
32.1,49.4,11,heavy,moderate,26-35,34.3,1.0,extreme
32.2,74.5,11,moderate,poor,18-25,42.7,1.0,extreme
37.6,57.8,12,moderate,well,26-35,52.2,0.937,extreme
23.4,41.3,3,heavy,moderate,36-45,22.9,0.348,low
33.2,53.1,5,extreme,well,36-45,37.7,0.907,extreme
42.1,10.0,4,light,moderate,55+,39.1,1.0,extreme
26.9,75.4,1,moderate,poor,36-45,29.1,0.498,moderate
31.7,81.0,9,heavy,well,26-35,43.9,1.0,extreme
37.0,57.0,7,extreme,moderate,55+,49.8,0.987,extreme
31.2,39.1,1,heavy,poor,26-35,31.1,0.711,high
39.2,87.2,6,light,well,55+,85.8,1.0,extreme
38.1,82.7,2,heavy,poor,26-35,74.5,0.922,extreme
39.8,89.6,5,light,poor,55+,92.6,1.0,extreme
32.2,43.7,6,moderate,moderate,55+,33.3,0.937,extreme
38.7,64.9,9,light,moderate,18-25,61.3,1.0,extreme
48.1,76.8,9,extreme,well,46-55,133.6,0.979,extreme
26.0,65.1,6,moderate,well,55+,26.3,0.443,moderate
34.6,60.7,1,extreme,moderate,36-45,44.3,0.97,extreme
41.1,57.2,8,moderate,poor,18-25,64.8,0.959,extreme
30.4,66.0,11,heavy,poor,55+,35.1,0.915,extreme
32.0,47.0,1,heavy,well,55+,33.7,0.801,high
32.9,22.6,11,light,poor,55+,31.0,0.935,extreme
21.5,59.4,4,moderate,poor,46-55,21.3,0.558,moderate
33.1,33.2,8,heavy,poor,18-25,32.7,1.0,extreme
39.9,74.0,6,light,well,46-55,75.4,0.97,extreme
32.7,56.4,12,extreme,poor,46-55,37.5,1.0,extreme
27.6,84.8,10,light,poor,36-45,31.6,0.762,high
35.2,71.9,11,heavy,poor,36-45,52.2,1.0,extreme
31.0,62.3,3,light,well,26-35,35.5,0.432,moderate
35.5,78.3,6,heavy,moderate,46-55,57.8,0.938,extreme
31.1,52.3,5,extreme,moderate,55+,33.2,0.95,extreme
23.7,45.1,10,light,well,46-55,23.3,0.564,moderate
37.9,54.3,8,heavy,well,18-25,50.8,0.978,extreme
31.0,59.6,10,light,moderate,46-55,34.7,0.903,extreme
22.5,34.0,9,light,poor,18-25,21.7,0.677,moderate
43.1,63.6,10,light,moderate,46-55,80.6,0.951,extreme
38.6,56.5,7,heavy,poor,55+,54.5,0.967,extreme
27.9,87.6,5,moderate,poor,26-35,33.0,0.887,extreme
31.0,66.8,7,moderate,well,55+,36.6,0.757,high
32.2,59.1,5,moderate,poor,36-45,37.3,0.94,extreme
32.6,40.1,3,extreme,moderate,26-35,33.2,0.9,extreme
28.3,38.8,6,moderate,moderate,46-55,27.9,0.71,high
32.2,73.9,12,heavy,moderate,55+,42.6,1.0,extreme
20.8,62.9,1,extreme,poor,18-25,20.5,0.693,moderate
32.6,52.2,9,moderate,poor,26-35,36.1,1.0,extreme
33.1,47.5,9,moderate,well,26-35,35.8,0.918,extreme
34.4,60.3,6,heavy,poor,55+,43.6,1.0,extreme
34.7,52.3,7,heavy,moderate,55+,40.7,1.0,extreme
30.4,74.6,2,moderate,well,46-55,37.3,0.666,moderate
22.1,100.0,12,moderate,moderate,18-25,22.9,0.604,moderate
29.0,59.3,3,moderate,poor,18-25,30.9,0.52,moderate
25.3,73.9,4,extreme,moderate,46-55,25.9,0.641,moderate
24.5,50.6,9,extreme,poor,26-35,24.3,0.997,extreme
32.0,81.6,8,moderate,poor,26-35,45.2,0.941,extreme
26.9,65.6,10,extreme,well,55+,28.3,0.972,extreme
34.3,74.8,8,moderate,moderate,26-35,50.3,0.936,extreme
30.4,46.1,8,heavy,well,18-25,31.0,0.632,moderate
33.7,40.1,12,heavy,moderate,26-35,35.0,0.94,extreme
36.5,59.4,2,moderate,well,18-25,49.3,0.993,extreme
30.4,57.8,7,extreme,well,46-55,33.1,0.927,extreme
30.6,39.9,5,light,well,26-35,30.4,0.289,low
26.5,43.5,7,heavy,well,36-45,26.3,0.433,moderate
31.7,70.9,8,heavy,moderate,46-55,39.7,0.978,extreme
32.0,60.7,7,light,moderate,26-35,37.3,0.77,high
35.8,74.5,3,extreme,well,55+,56.4,1.0,extreme
27.8,28.0,7,light,poor,46-55,26.8,0.569,moderate
33.8,57.8,3,extreme,poor,55+,40.6,0.979,extreme
31.0,60.4,12,extreme,moderate,46-55,34.9,0.963,extreme
28.1,65.3,10,heavy,moderate,36-45,30.2,0.881,extreme
49.9,58.8,11,moderate,moderate,46-55,111.0,1.0,extreme
27.5,45.9,2,moderate,poor,18-25,27.6,0.596,moderate
25.6,46.7,7,light,well,46-55,25.4,0.378,low
30.3,77.7,8,light,moderate,18-25,37.8,0.644,moderate
38.9,15.6,7,extreme,moderate,26-35,36.9,0.997,extreme
32.8,69.1,4,moderate,poor,36-45,42.5,0.942,extreme
31.9,78.4,2,light,well,55+,43.4,0.804,high
32.9,82.5,7,light,moderate,55+,48.9,1.0,extreme
30.5,38.8,12,moderate,well,46-55,30.2,0.778,high
26.7,66.6,3,light,well,36-45,28.1,0.181,low
33.5,57.9,3,heavy,moderate,18-25,40.0,1.0,extreme
29.3,49.6,7,moderate,well,26-35,30.0,0.502,moderate
31.2,48.2,4,extreme,well,18-25,32.7,0.813,high
31.7,56.4,12,heavy,moderate,26-35,35.4,1.0,extreme
31.9,58.8,11,moderate,poor,36-45,36.6,1.0,extreme
24.5,53.0,3,light,well,18-25,24.3,0.111,low
39.2,44.3,8,extreme,moderate,18-25,48.8,0.911,extreme
30.5,86.0,8,light,moderate,18-25,41.3,0.832,high
36.0,48.7,7,moderate,well,26-35,42.6,0.893,extreme
39.2,58.1,8,light,moderate,46-55,58.0,0.947,extreme
36.1,69.4,6,heavy,poor,26-35,54.0,1.0,extreme
38.3,46.0,6,light,well,18-25,47.3,0.825,high
34.3,68.5,10,moderate,poor,55+,47.2,0.962,extreme
26.6,61.5,3,light,moderate,26-35,27.6,0.254,low
33.3,61.5,6,moderate,poor,18-25,40.9,1.0,extreme
32.5,49.0,9,light,poor,26-35,35.1,0.992,extreme
30.1,28.8,2,light,poor,46-55,28.7,0.61,moderate
31.4,32.3,12,light,well,18-25,30.4,0.58,moderate
30.7,42.5,3,light,moderate,18-25,30.9,0.333,low
30.0,71.1,5,heavy,well,26-35,35.3,0.758,high
29.4,82.7,11,light,poor,55+,36.7,0.923,extreme
33.5,38.2,7,light,poor,26-35,34.2,0.784,high
30.6,80.9,6,light,well,46-55,40.0,0.981,extreme
30.2,65.3,8,light,moderate,36-45,34.5,0.594,moderate
32.5,51.2,4,extreme,poor,18-25,35.5,0.965,extreme
28.4,37.5,1,moderate,moderate,55+,27.8,0.634,moderate
29.5,57.9,5,moderate,moderate,18-25,31.6,0.602,moderate
30.8,63.2,1,extreme,well,36-45,35.1,0.711,high
34.8,83.7,7,moderate,poor,46-55,57.9,0.935,extreme
31.0,31.6,9,light,poor,18-25,29.9,0.742,high
24.8,50.7,7,heavy,moderate,36-45,24.6,0.4,low
30.8,45.9,1,light,well,36-45,31.5,0.295,low
33.0,49.8,6,heavy,well,55+,36.1,0.913,extreme
36.3,39.9,5,extreme,poor,18-25,39.7,0.948,extreme
23.0,77.9,11,extreme,moderate,18-25,23.4,0.851,extreme
32.3,68.1,12,moderate,moderate,36-45,40.6,1.0,extreme
20.0,52.0,3,light,moderate,36-45,19.4,0.275,low
29.5,69.3,12,heavy,moderate,36-45,33.7,0.96,extreme
32.1,60.9,7,moderate,well,46-55,37.6,0.754,high
35.9,33.0,11,moderate,poor,36-45,36.7,0.953,extreme
32.3,65.1,2,moderate,moderate,36-45,39.4,0.906,extreme
39.6,72.3,7,extreme,moderate,55+,72.2,1.0,extreme
34.8,58.0,8,moderate,poor,46-55,43.5,1.0,extreme
20.1,54.6,2,heavy,poor,36-45,19.6,0.511,moderate
34.6,79.6,5,extreme,poor,46-55,54.3,0.949,extreme
35.3,30.6,6,extreme,moderate,36-45,35.3,0.981,extreme
30.0,54.5,12,moderate,well,55+,31.8,0.783,high
27.2,60.7,10,extreme,well,36-45,28.4,0.926,extreme
28.4,81.4,6,heavy,moderate,55+,33.4,1.0,extreme
34.0,77.0,6,light,well,18-25,50.5,1.0,extreme
25.6,75.9,7,moderate,well,55+,26.2,0.444,moderate
29.6,81.9,1,extreme,moderate,55+,37.0,0.929,extreme
24.5,69.5,6,moderate,well,36-45,24.8,0.296,low
28.9,39.3,8,moderate,well,36-45,28.5,0.505,moderate
26.0,86.5,12,light,poor,46-55,27.9,1.0,extreme
29.0,74.7,10,extreme,poor,26-35,33.7,0.977,extreme
36.7,48.2,3,heavy,moderate,36-45,44.2,1.0,extreme
31.6,64.2,12,moderate,moderate,55+,37.4,1.0,extreme
32.9,39.8,12,light,moderate,55+,33.6,0.99,extreme
31.1,55.6,12,light,moderate,55+,33.9,0.995,extreme
36.8,59.1,7,moderate,well,46-55,50.3,0.943,extreme
38.5,58.8,12,extreme,moderate,18-25,56.0,0.967,extreme
35.7,53.1,4,heavy,moderate,55+,43.8,1.0,extreme
25.2,52.6,2,light,poor,55+,25.1,0.495,moderate
33.0,66.8,1,light,well,55+,42.2,0.831,high
32.9,43.1,1,extreme,poor,55+,34.3,0.967,extreme
45.6,67.1,5,extreme,poor,26-35,99.2,0.998,extreme
39.8,73.3,12,light,poor,46-55,74.4,1.0,extreme
36.4,56.9,11,moderate,poor,18-25,47.8,0.991,extreme
29.6,69.2,10,heavy,poor,26-35,33.8,1.0,extreme
30.2,81.2,2,heavy,moderate,46-55,38.6,0.919,extreme
26.3,47.6,7,heavy,poor,55+,26.2,0.773,high
22.7,71.1,9,moderate,poor,46-55,22.9,0.947,extreme
35.9,63.4,7,light,well,36-45,49.6,1.0,extreme
31.3,57.9,11,light,poor,36-45,34.9,0.918,extreme
32.0,52.6,2,moderate,moderate,46-55,35.0,0.796,high
